"","WRB","count"
"Calcic Luvisol Endoesqueletic","Calcic Luvisol Endoesqueletic",1
"Calcic Planosol Luvic","Calcic Planosol Luvic",1
"Calcic Solonchak","Calcic Solonchak",1
"Calcic Solonchak Hipersalic","Calcic Solonchak Hipersalic",2
"Calcic Solonchak Sodic,Chloridic","Calcic Solonchak Sodic,Chloridic",1
"Calcic Solonetz","Calcic Solonetz",7
"Calcic Solonetz Aridic","Calcic Solonetz Aridic",1
"Calcic Solonetz Hiposalic","Calcic Solonetz Hiposalic",1
"Calcic Vertisol","Calcic Vertisol",10
"Calcic Vertisol Alcalic","Calcic Vertisol Alcalic",1
"Calcic Vertisol Bathyhyposalic,Bathyhyposodic","Calcic Vertisol Bathyhyposalic,Bathyhyposodic",1
"Calcic Vertisol Calcaric,Hyposalic","Calcic Vertisol Calcaric,Hyposalic",1
"Calcic Vertisol Calcaric,Hyposodic","Calcic Vertisol Calcaric,Hyposodic",3
"Calcic Vertisol Chromic","Calcic Vertisol Chromic",3
"Calcic Vertisol Grumic","Calcic Vertisol Grumic",1
"Calcic Vertisol Hiposalic","Calcic Vertisol Hiposalic",3
"Calcic Vertisol Hiposodic","Calcic Vertisol Hiposodic",5
"Calcic Vertisol Humic","Calcic Vertisol Humic",10
"Calcic Vertisol Hyposodic,Chromic","Calcic Vertisol Hyposodic,Chromic",1
"Calcic Vertisol Mazic","Calcic Vertisol Mazic",3
"Calcic Vertisol Mesotrofic","Calcic Vertisol Mesotrofic",1
"Calcic,Calcic,Pelli Vertisol Albic,Humic,Hyposodic,Hyposodic","Calcic,Calcic,Pelli Vertisol Albic,Humic,Hyposodic,Hyposodic",1
"Calcic,Calcic,Silti Kastanozem Siltic","Calcic,Calcic,Silti Kastanozem Siltic",1
"Calcic,Endoleptic Vertisol","Calcic,Endoleptic Vertisol",1
"Calcic,Endosodic Vertisol","Calcic,Endosodic Vertisol",1
"Calcic,Epileptic Luvisol","Calcic,Epileptic Luvisol",1
"Calcic,Eutrosilic,Mollic Andosol","Calcic,Eutrosilic,Mollic Andosol",1
"Calcic,Gleyic Luvisol","Calcic,Gleyic Luvisol",1
"Calcic,Gleyic Solonetz","Calcic,Gleyic Solonetz",1
"Calcic,Greyic Solonetz Clayic","Calcic,Greyic Solonetz Clayic",1
"Calcic,Grumic Vertisol Bathyhyposodic,Chromic","Calcic,Grumic Vertisol Bathyhyposodic,Chromic",1
"Calcic,Grumic Vertisol Chromic","Calcic,Grumic Vertisol Chromic",1
"Calcic,Grumic Vertisol Hyposalic,Chromic","Calcic,Grumic Vertisol Hyposalic,Chromic",1
"Calcic,Grumic Vertisol Hyposalic,Hyposodic,Chromic","Calcic,Grumic Vertisol Hyposalic,Hyposodic,Chromic",1
"Calcic,Grumic Vertisol Hyposodic,Chromic","Calcic,Grumic Vertisol Hyposodic,Chromic",4
"Calcic,Grumic,Ekranic Vertisol","Calcic,Grumic,Ekranic Vertisol",1
"Calcic,Gypsic Solonchak Arenic","Calcic,Gypsic Solonchak Arenic",1
"Calcic,Hyposodic Luvisol","Calcic,Hyposodic Luvisol",1
"Calcic,Hyposodic Solonchak","Calcic,Hyposodic Solonchak",1
"Calcic,Luvic Chernozem","Calcic,Luvic Chernozem",1
"Calcic,Mazic Vertisol Bathyhyposodic,Bathyhyposalic","Calcic,Mazic Vertisol Bathyhyposodic,Bathyhyposalic",1
"Calcic,Mazic Vertisol Hyposodic,Hyposalic","Calcic,Mazic Vertisol Hyposodic,Hyposalic",1
"Calcic,Natric Vertisol","Calcic,Natric Vertisol",1
"Calcic,Salic Solonetz","Calcic,Salic Solonetz",1
"Calcic,Sodic Solonchak","Calcic,Sodic Solonchak",7
"Calcic,Sodic Vertisol","Calcic,Sodic Vertisol",5
"Calcic,Solodic Planosol Endogleyic,Clayic","Calcic,Solodic Planosol Endogleyic,Clayic",1
"Calcic,Vertic Luvisol Rhodic","Calcic,Vertic Luvisol Rhodic",1
"Calcic,Vertic,Gleyic Luvisol","Calcic,Vertic,Gleyic Luvisol",1
"Calcic,Vertic,Gleyic Solonetz","Calcic,Vertic,Gleyic Solonetz",1
"Calcic,Voronic Chernozem Pachic","Calcic,Voronic Chernozem Pachic",1
"Calcisol","Calcisol",1073
"Cambic Leptosol Eutric","Cambic Leptosol Eutric",1
"Cambic,Ferralic Umbrisol","Cambic,Ferralic Umbrisol",1
"Cambic,Mollic Umbrisol","Cambic,Mollic Umbrisol",1
"Cambisol","Cambisol",2527
"Cambisol Vertic,Endogleyic","Cambisol Vertic,Endogleyic",1
"Carbic Podzol","Carbic Podzol",4
"Carbic,Umbric Podzol","Carbic,Umbric Podzol",1
"Chernic,Calci Chernozem","Chernic,Calci Chernozem",1
"Chernozem","Chernozem",590
"Chromic Acrisol","Chromic Acrisol",33
"Chromic Alisol","Chromic Alisol",2
"Chromic Cambisol","Chromic Cambisol",12
"Chromic Lixisol","Chromic Lixisol",50
"Chromic Luvisol","Chromic Luvisol",68
"Chromic Phaeozem","Chromic Phaeozem",1
"Chromic Vertisol","Chromic Vertisol",1
"Chromic,Abruptic Alisol","Chromic,Abruptic Alisol",1
"Chromic,Abruptic Lixisol","Chromic,Abruptic Lixisol",2
"Chromic,Acric Ferralsol","Chromic,Acric Ferralsol",1
"Chromic,Albic Acrisol","Chromic,Albic Acrisol",1
"Chromic,Arenic Acrisol","Chromic,Arenic Acrisol",3
"Chromic,Arenic Lixisol","Chromic,Arenic Lixisol",2
"Chromic,Arenic Luvisol","Chromic,Arenic Luvisol",3
"Chromic,Bathypetroplinthic Acrisol","Chromic,Bathypetroplinthic Acrisol",1
"Chromic,Calcaric Cambisol","Chromic,Calcaric Cambisol",2
"Chromic,Calcic Luvisol","Chromic,Calcic Luvisol",5
"Chromic,Endoleptic Cambisol","Chromic,Endoleptic Cambisol",2
"Chromic,Endoleptic Luvisol","Chromic,Endoleptic Luvisol",2
"Chromic,Endoskeletic Cambisol","Chromic,Endoskeletic Cambisol",1
"Chromic,Endoskeletic Lixisol","Chromic,Endoskeletic Lixisol",1
"Chromic,Endoskeletic Luvisol","Chromic,Endoskeletic Luvisol",1
"Chromic,Epileptic Cambisol","Chromic,Epileptic Cambisol",1
"Chromic,Ferralic Cambisol","Chromic,Ferralic Cambisol",7
"Chromic,Ferric Acrisol","Chromic,Ferric Acrisol",3
"Chromic,Ferric Lixisol","Chromic,Ferric Lixisol",4
"Chromic,Ferric Luvisol","Chromic,Ferric Luvisol",4
"Chromic,Ferric,Stagnic Acrisol","Chromic,Ferric,Stagnic Acrisol",1
"Chromic,Gleyic Cambisol","Chromic,Gleyic Cambisol",2
"Chromic,Humic Acrisol","Chromic,Humic Acrisol",5
"Chromic,Humic Alisol","Chromic,Humic Alisol",1
"Chromic,Humic Lixisol","Chromic,Humic Lixisol",1
"Chromic,Humic Luvisol","Chromic,Humic Luvisol",1
"Chromic,Hyperdystric Acrisol","Chromic,Hyperdystric Acrisol",3
"Chromic,Hyperdystric Alisol","Chromic,Hyperdystric Alisol",1
"Chromic,Hyposodic Cambisol","Chromic,Hyposodic Cambisol",1
"Chromic,Hyposodic Phaeozem","Chromic,Hyposodic Phaeozem",1
"Chromic,Hyposodic Vertisol","Chromic,Hyposodic Vertisol",1
"Chromic,Leptic Acrisol","Chromic,Leptic Acrisol",1
"Chromic,Leptic Cambisol","Chromic,Leptic Cambisol",1
"Chromic,Leptic Lixisol","Chromic,Leptic Lixisol",1
"Chromic,Leptic Luvisol","Chromic,Leptic Luvisol",2
"Chromic,Leptic Regosol","Chromic,Leptic Regosol",1
"Chromic,Luvic Calcisol","Chromic,Luvic Calcisol",2
"Chromic,Luvic Kastanozem","Chromic,Luvic Kastanozem",1
"Chromic,Luvic Phaeozem","Chromic,Luvic Phaeozem",5
"Chromic,Luvic Planosol","Chromic,Luvic Planosol",3
"Chromic,Paraleptic Cambisol","Chromic,Paraleptic Cambisol",8
"Chromic,Paraleptic Lixisol","Chromic,Paraleptic Lixisol",4
"Chromic,Paraleptic Luvisol","Chromic,Paraleptic Luvisol",2
"Chromic,Paraplinthic Cambisol","Chromic,Paraplinthic Cambisol",1
"Chromic,Paraplinthic Lixisol","Chromic,Paraplinthic Lixisol",1
"Chromic,Petroplinthic Lixisol","Chromic,Petroplinthic Lixisol",1
"Chromic,Profondic Acrisol","Chromic,Profondic Acrisol",3
"Chromic,Profondic Alisol","Chromic,Profondic Alisol",1
"Chromic,Profondic Lixisol","Chromic,Profondic Lixisol",3
"Chromic,Skeletic Cambisol","Chromic,Skeletic Cambisol",2
"Cromic Calcisol Alcalic","Cromic Calcisol Alcalic",2
"Cromic Cambisol","Cromic Cambisol",2
"Cromic Cambisol Eutric","Cromic Cambisol Eutric",4
"Cromic Leptosol","Cromic Leptosol",2
"Cromic Lixisol","Cromic Lixisol",2
"Cromic Luvisol","Cromic Luvisol",13
"Cromic Luvisol Humic","Cromic Luvisol Humic",1
"Cromic Phaeozem","Cromic Phaeozem",3
"Cromic Vertisol","Cromic Vertisol",1
"Cromic Vertisol Alcalic","Cromic Vertisol Alcalic",1
"Cromic Vertisol Distric","Cromic Vertisol Distric",1
"Cromic Vertisol Mazic","Cromic Vertisol Mazic",5
"Cryosol","Cryosol",111
"Cumulihaplic Phaeozem","Cumulihaplic Phaeozem",1
"Cutanic Acrisol","Cutanic Acrisol",5
"Cutanic Acrisol Albic,Alumic,Hyperdystric","Cutanic Acrisol Albic,Alumic,Hyperdystric",1
"Cutanic Acrisol Alumic,Clayic","Cutanic Acrisol Alumic,Clayic",1
"Cutanic Acrisol Hyperdystric","Cutanic Acrisol Hyperdystric",1
"Cutanic Alisol","Cutanic Alisol",1
"Cutanic Lixisol","Cutanic Lixisol",11
"Cutanic Lixisol Manganiferric,Clayic,Rhodic","Cutanic Lixisol Manganiferric,Clayic,Rhodic",1
"Cutanic Luvisol","Cutanic Luvisol",3
"Cutanic Luvisol Abruptic,Endoclayic","Cutanic Luvisol Abruptic,Endoclayic",1
"Cutanic Luvisol Aridic","Cutanic Luvisol Aridic",1
"Cutanic Luvisol Cromic","Cutanic Luvisol Cromic",3
"Cutanic Luvisol Epidistric","Cutanic Luvisol Epidistric",2
"Cutanic Luvisol Epiesqueletic","Cutanic Luvisol Epiesqueletic",1
"Cutanic Luvisol Esqueletic","Cutanic Luvisol Esqueletic",1
"Cutanic Luvisol Hiperdistric","Cutanic Luvisol Hiperdistric",1
"Cutanic Luvisol Hypereutric,Clayic","Cutanic Luvisol Hypereutric,Clayic",1
"Cutanic,Ali,Acri,Luvi Lixisol","Cutanic,Ali,Acri,Luvi Lixisol",1
"Cutanic,Alumic,Chromi Acrisol Alumic,Siltic,Chromic","Cutanic,Alumic,Chromi Acrisol Alumic,Siltic,Chromic",1
"Cutanic,Andic Luvisol Ruptic,Humic,Epidystric","Cutanic,Andic Luvisol Ruptic,Humic,Epidystric",1
"Cutanic,Chromic Acrisol Clayic,Chromic","Cutanic,Chromic Acrisol Clayic,Chromic",1
"Cutanic,Chromic Lixisol Chromic","Cutanic,Chromic Lixisol Chromic",1
"Cutanic,Chromic Lixisol Hypereutric,Chromic","Cutanic,Chromic Lixisol Hypereutric,Chromic",1
"Cutanic,Chromic,Cutani Luvisol Chromic","Cutanic,Chromic,Cutani Luvisol Chromic",1
"Cutanic,Chromic,Cutani Luvisol Ruptic,Clayic,Chromic","Cutanic,Chromic,Cutani Luvisol Ruptic,Clayic,Chromic",1
"Cutanic,Chromic,Cutani Luvisol Siltic,Chromic,Haplic","Cutanic,Chromic,Cutani Luvisol Siltic,Chromic,Haplic",1
"Cutanic,Chromic,Cutani Luvisol Siltic,Haplic","Cutanic,Chromic,Cutani Luvisol Siltic,Haplic",1
"Cutanic,Cutanic,Dystri Luvisol Alumic,Clayic","Cutanic,Cutanic,Dystri Luvisol Alumic,Clayic",1
"Cutanic,Cutanic,Hapli Luvisol Siltic","Cutanic,Cutanic,Hapli Luvisol Siltic",1
"Cutanic,Endogleyic Acrisol Alumic,Humic","Cutanic,Endogleyic Acrisol Alumic,Humic",1
"Cutanic,Endogleyic Alisol","Cutanic,Endogleyic Alisol",1
"Cutanic,Endoleptic Luvisol","Cutanic,Endoleptic Luvisol",1
"Cutanic,Endoleptic,Chromi,Endoleptic Luvisol Hypereutric,Clayic,Chromic,Cutanic","Cutanic,Endoleptic,Chromi,Endoleptic Luvisol Hypereutric,Clayic,Chromic,Cutanic",1
"Cutanic,Endoleptic,Endoleptic,Cutani Luvisol Clayic","Cutanic,Endoleptic,Endoleptic,Cutani Luvisol Clayic",1
"Cutanic,Endoleptic,Endoleptic,Vitri,Vitric Acrisol Ruptic,Alumic,Humic,Humic,Alumic","Cutanic,Endoleptic,Endoleptic,Vitri,Vitric Acrisol Ruptic,Alumic,Humic,Humic,Alumic",1
"Cutanic,Gleyic,Gleyic,Silti Luvisol Hyperdystric,Siltic,Cutanic,Hyperdystric","Cutanic,Gleyic,Gleyic,Silti Luvisol Hyperdystric,Siltic,Cutanic,Hyperdystric",1
"Cutanic,Haplic Lixisol Siltic","Cutanic,Haplic Lixisol Siltic",1
"Cutanic,Humic,Alumi Acrisol Alumic,Humic,Hyperdystric,Hyperdystric,Chromic","Cutanic,Humic,Alumi Acrisol Alumic,Humic,Hyperdystric,Hyperdystric,Chromic",1
"Cutanic,Humic,Chromi Acrisol Humic,Epieutric,Clayic,Chromic","Cutanic,Humic,Chromi Acrisol Humic,Epieutric,Clayic,Chromic",1
"Cutanic,Humic,Chromi Acrisol Ruptic,Humic,Clayic,Chromic","Cutanic,Humic,Chromi Acrisol Ruptic,Humic,Clayic,Chromic",1
"Cutanic,Humic,Profondi Acrisol Alumic,Humic,Alumic,Profondic","Cutanic,Humic,Profondi Acrisol Alumic,Humic,Alumic,Profondic",1
"Cutanic,Humic,Profondi Acrisol Alumic,Humic,Profondic,Alumic,Chromic","Cutanic,Humic,Profondi Acrisol Alumic,Humic,Profondic,Alumic,Chromic",1
"Cutanic,Hyperdystric,Chromi Acrisol Ruptic,Alumic,Clayic","Cutanic,Hyperdystric,Chromi Acrisol Ruptic,Alumic,Clayic",1
"Cutanic,Pisoplinthic Acrisol","Cutanic,Pisoplinthic Acrisol",1
"Cutanic,Plinthic,Plinthic,Chromi Acrisol Epieutric,Chromic","Cutanic,Plinthic,Plinthic,Chromi Acrisol Epieutric,Chromic",1
"Cutanic,Profondic,Chromi Acrisol Epieutric,Profondic,Chromic","Cutanic,Profondic,Chromi Acrisol Epieutric,Profondic,Chromic",1
"Cutanic,Profondic,Pisoplinthic,Chromi Luvisol Profondic,Chromic,Dystric","Cutanic,Profondic,Pisoplinthic,Chromi Luvisol Profondic,Chromic,Dystric",1
"Cutanic,Profondic,Rhodi Acrisol Epieutric,Profondic,Rhodic","Cutanic,Profondic,Rhodi Acrisol Epieutric,Profondic,Rhodic",1
"Cutanic,Profondic,Rhodi Lixisol Profondic,Rhodic","Cutanic,Profondic,Rhodi Lixisol Profondic,Rhodic",1
"Cutanic,Profondic,Vertic,Chromi Luvisol Hypereutric,Clayic,Chromic,Cutanic,Haplic","Cutanic,Profondic,Vertic,Chromi Luvisol Hypereutric,Clayic,Chromic,Cutanic,Haplic",1
"Cutanic,Rhodic Luvisol","Cutanic,Rhodic Luvisol",1
"Cutanic,Stagnic Acrisol Albic,Alumic,Hyperdystric","Cutanic,Stagnic Acrisol Albic,Alumic,Hyperdystric",1
"Cutanic,Stagnic Luvisol","Cutanic,Stagnic Luvisol",1
"Cutanic,Stagnic,Stagnic,Alumi Albeluvisol Ferric,Ruptic,Ferric,Alumic,Siltic","Cutanic,Stagnic,Stagnic,Alumi Albeluvisol Ferric,Ruptic,Ferric,Alumic,Siltic",1
"Cutanic,Umbric Acrisol","Cutanic,Umbric Acrisol",1
"Cutanic,Umbric,Rhodi,Umbric Acrisol Clayic,Rhodic","Cutanic,Umbric,Rhodi,Umbric Acrisol Clayic,Rhodic",1
"Densic,Hapli Podzol","Densic,Hapli Podzol",1
"Distric Andosol","Distric Andosol",2
"Distric Andosol Humic","Distric Andosol Humic",2
"Distric Arenosol","Distric Arenosol",1
"Distric Cambisol Cromic","Distric Cambisol Cromic",1
"Distric Cambisol Rodic","Distric Cambisol Rodic",1
"Distric Leptosol","Distric Leptosol",6
"Distric Luvisol","Distric Luvisol",3
"Distric Luvisol Cromic","Distric Luvisol Cromic",4
"Distric Luvisol Rodic","Distric Luvisol Rodic",2
"Distric Nitisol Cromic","Distric Nitisol Cromic",1
"Distric Regosol","Distric Regosol",2
"Duric Planosol Luvic","Duric Planosol Luvic",1
"Durisol","Durisol",1
"Dystric Arenosol","Dystric Arenosol",8
"Dystric Cambisol","Dystric Cambisol",5
"Dystric Fluvisol","Dystric Fluvisol",4
"Dystric Histosol","Dystric Histosol",1
"Dystric Leptosol","Dystric Leptosol",1
"Dystric Luvisol","Dystric Luvisol",6
"Dystric Regosol","Dystric Regosol",13
"Dystric Regosol Skeletic","Dystric Regosol Skeletic",1
"Dystric,Albic Arenosol","Dystric,Albic Arenosol",7
"Dystric,Albic Planosol","Dystric,Albic Planosol",2
"Dystric,Arenic Regosol","Dystric,Arenic Regosol",1
"Dystric,Cambic Arenosol","Dystric,Cambic Arenosol",3
"Dystric,Chromic Cambisol","Dystric,Chromic Cambisol",2
"Dystric,Cutanic Luvisol","Dystric,Cutanic Luvisol",1
"Dystric,Endogleyic Cambisol","Dystric,Endogleyic Cambisol",1
"Dystric,Eutrosilic,Aluandic Andosol","Dystric,Eutrosilic,Aluandic Andosol",2
"Dystric,Ferralic Arenosol","Dystric,Ferralic Arenosol",6
"Dystric,Ferralic Cambisol","Dystric,Ferralic Cambisol",1
"Dystric,Ferralic Nitisol","Dystric,Ferralic Nitisol",1
"Dystric,Ferric Arenosol","Dystric,Ferric Arenosol",1
"Dystric,Fibric Histosol","Dystric,Fibric Histosol",3
"Dystric,Gleyic Arenosol","Dystric,Gleyic Arenosol",3
"Dystric,Haplic Arenosol","Dystric,Haplic Arenosol",1
"Dystric,Haplic,Dystri Cambisol Alumic,Humic","Dystric,Haplic,Dystri Cambisol Alumic,Humic",1
"Dystric,Histic Gleysol","Dystric,Histic Gleysol",1
"Dystric,Humic Cambisol","Dystric,Humic Cambisol",1
"Dystric,Humic Gleysol","Dystric,Humic Gleysol",1
"Dystric,Humic Nitisol Haplic","Dystric,Humic Nitisol Haplic",1
"Dystric,Humic Regosol","Dystric,Humic Regosol",2
"Dystric,Hypoluvic Arenosol","Dystric,Hypoluvic Arenosol",3
"Dystric,Leptic Cambisol","Dystric,Leptic Cambisol",3
"Dystric,Leptic Regosol","Dystric,Leptic Regosol",2
"Dystric,Luvic Arenosol","Dystric,Luvic Arenosol",2
"Dystric,Petroplinthic Arenosol","Dystric,Petroplinthic Arenosol",1
"Dystric,Rhodic Cambisol","Dystric,Rhodic Cambisol",1
"Dystric,Rhodic Nitisol","Dystric,Rhodic Nitisol",1
"Dystric,Sapric Histosol","Dystric,Sapric Histosol",1
"Dystric,Skeletic Regosol","Dystric,Skeletic Regosol",1
"Dystric,Spodi Arenosol","Dystric,Spodi Arenosol",1
"Dystric,Terric Histosol","Dystric,Terric Histosol",1
"Dystric,Umbric Gleysol","Dystric,Umbric Gleysol",1
"Endodystric,Stagnic Luvisol","Endodystric,Stagnic Luvisol",1
"Endoesqueletic Calcisol","Endoesqueletic Calcisol",2
"Endoesqueletic Calcisol Alcalic","Endoesqueletic Calcisol Alcalic",1
"Endoesqueletic Calcisol Aridic","Endoesqueletic Calcisol Aridic",1
"Endoesqueletic Calcisol Hiposodic","Endoesqueletic Calcisol Hiposodic",2
"Endoesqueletic Calcisol Luvic","Endoesqueletic Calcisol Luvic",1
"Endoesqueletic Cambisol","Endoesqueletic Cambisol",1
"Endoesqueletic Cambisol Hiperdistric","Endoesqueletic Cambisol Hiperdistric",1
"Endoesqueletic Cambisol Rodic","Endoesqueletic Cambisol Rodic",1
"Endoesqueletic Fluvisol","Endoesqueletic Fluvisol",1
"Endoesqueletic Kastanozem Hipocalcic","Endoesqueletic Kastanozem Hipocalcic",1
"Endoesqueletic Luvisol Calcaric","Endoesqueletic Luvisol Calcaric",1
"Endoesqueletic Luvisol Cromic","Endoesqueletic Luvisol Cromic",7
"Endoesqueletic Luvisol Hiposodic","Endoesqueletic Luvisol Hiposodic",1
"Endoesqueletic Luvisol Siltic","Endoesqueletic Luvisol Siltic",1
"Endoesqueletic Phaeozem","Endoesqueletic Phaeozem",2
"Endoesqueletic Phaeozem Luvic","Endoesqueletic Phaeozem Luvic",1
"Endoesqueletic Planosol Calcaric","Endoesqueletic Planosol Calcaric",2
"Endoesqueletic Regosol","Endoesqueletic Regosol",1
"Endoesqueletic Regosol Distric","Endoesqueletic Regosol Distric",2
"Endoesqueletic Regosol Eutric","Endoesqueletic Regosol Eutric",1
"Endoesqueletic Regosol Hipereutric","Endoesqueletic Regosol Hipereutric",1
"Endoesqueletic Regosol Humic","Endoesqueletic Regosol Humic",1
"Endoesqueletic Umbrisol","Endoesqueletic Umbrisol",1
"Endoesqueletic Vertisol Calcaric","Endoesqueletic Vertisol Calcaric",1
"Endoesqueletic Vertisol Grumic","Endoesqueletic Vertisol Grumic",1
"Endoesqueletic Vertisol Humic","Endoesqueletic Vertisol Humic",3
"Endoeutric Arenosol","Endoeutric Arenosol",1
"Endoeutric Ferralsol","Endoeutric Ferralsol",1
"Endoeutric,Silti Albeluvisol","Endoeutric,Silti Albeluvisol",2
"Endogleyic Alisol","Endogleyic Alisol",1
"Endogleyic Arenosol","Endogleyic Arenosol",1
"Endogleyic Cambisol Calcaric","Endogleyic Cambisol Calcaric",1
"Endogleyic Cambisol Stagnic","Endogleyic Cambisol Stagnic",1
"Endogleyic Fluvisol Hipereutric","Endogleyic Fluvisol Hipereutric",1
"Endogleyic Fluvisol Molic","Endogleyic Fluvisol Molic",1
"Endogleyic Fluvisol Molihumic","Endogleyic Fluvisol Molihumic",1
"Endogleyic Lixisol","Endogleyic Lixisol",2
"Endogleyic Luvisol Abruptic","Endogleyic Luvisol Abruptic",3
"Endogleyic Luvisol Albic","Endogleyic Luvisol Albic",1
"Endogleyic Luvisol Cutanic","Endogleyic Luvisol Cutanic",2
"Endogleyic Luvisol Umbric","Endogleyic Luvisol Umbric",1
"Endogleyic Phaeozem Humic","Endogleyic Phaeozem Humic",1
"Endogleyic Phaeozem Luvic","Endogleyic Phaeozem Luvic",2
"Endogleyic Phaeozem Siltic","Endogleyic Phaeozem Siltic",1
"Endogleyic Regosol Arenic","Endogleyic Regosol Arenic",2
"Endogleyic Vertisol Calcic","Endogleyic Vertisol Calcic",2
"Endogleyic Vertisol Endosodic","Endogleyic Vertisol Endosodic",1
"Endogleyic Vertisol Hipersodic","Endogleyic Vertisol Hipersodic",2
"Endogleyic Vertisol Hipocalcic","Endogleyic Vertisol Hipocalcic",2
"Endogleyic Vertisol Sodic","Endogleyic Vertisol Sodic",2
"Endogleyic,Areni,Endogleyic,Cambic Umbrisol Arenic,Drainic","Endogleyic,Areni,Endogleyic,Cambic Umbrisol Arenic,Drainic",1
"Endogleyic,Calcari Cambisol","Endogleyic,Calcari Cambisol",1
"Endogleyic,Calci Solonetz Magnesic","Endogleyic,Calci Solonetz Magnesic",1
"Endogleyic,Cutanic,Gleyic,Profondi Acrisol Alumic,Epieutric,Alumic,Profondic","Endogleyic,Cutanic,Gleyic,Profondi Acrisol Alumic,Epieutric,Alumic,Profondic",1
"Endogleyic,Cutanic,Umbri,Gleyic,Umbric Acrisol Alumic,Humic,Hyperdystric,Humic,Alumic,Clayic","Endogleyic,Cutanic,Umbri,Gleyic,Umbric Acrisol Alumic,Humic,Hyperdystric,Humic,Alumic,Clayic",1
"Endogleyic,Endofluvic,Luvic,Endosodi Plinthosol Sodic,Arenic,Luvic,Arenic","Endogleyic,Endofluvic,Luvic,Endosodi Plinthosol Sodic,Arenic,Luvic,Arenic",1
"Endogleyic,Endogleyic,Hypereutri Fluvisol Hypereutric","Endogleyic,Endogleyic,Hypereutri Fluvisol Hypereutric",1
"Endogleyic,Gleyic,Chromi Cambisol Alumic,Humic,Dystric,Clayic","Endogleyic,Gleyic,Chromi Cambisol Alumic,Humic,Dystric,Clayic",1
"Endogleyic,Gleyic,Pachi Phaeozem Pachic,Clayic,Novic","Endogleyic,Gleyic,Pachi Phaeozem Pachic,Clayic,Novic",1
"Endogleyic,Gleyic,Silti Cambisol Eutric,Siltic,Siltic,Clayic","Endogleyic,Gleyic,Silti Cambisol Eutric,Siltic,Siltic,Clayic",1
"Endogleyic,Luvi Phaeozem Glossic,Vermic","Endogleyic,Luvi Phaeozem Glossic,Vermic",1
"Endogleyic,Petrosalic,Endogleyic,Sodi,Calcic Solonchak Sodic,Carbonatic,Calcic,Clayic,Petrosalic","Endogleyic,Petrosalic,Endogleyic,Sodi,Calcic Solonchak Sodic,Carbonatic,Calcic,Clayic,Petrosalic",1
"Endogleyic,Rusti Podzol","Endogleyic,Rusti Podzol",1
"Endoleptic Acrisol Abruptic","Endoleptic Acrisol Abruptic",2
"Endoleptic Acrisol Epiesqueletic","Endoleptic Acrisol Epiesqueletic",1
"Endoleptic Acrisol Hiperdistric","Endoleptic Acrisol Hiperdistric",1
"Endoleptic Acrisol Humic","Endoleptic Acrisol Humic",1
"Endoleptic Andosol Molic","Endoleptic Andosol Molic",1
"Endoleptic Andosol Umbrihumic","Endoleptic Andosol Umbrihumic",2
"Endoleptic Calcisol","Endoleptic Calcisol",2
"Endoleptic Calcisol Aridic","Endoleptic Calcisol Aridic",4
"Endoleptic Calcisol Epiesqueletic","Endoleptic Calcisol Epiesqueletic",1
"Endoleptic Calcisol Esqueletic","Endoleptic Calcisol Esqueletic",4
"Endoleptic Calcisol Hipercalcic","Endoleptic Calcisol Hipercalcic",1
"Endoleptic Calcisol Hipersodic","Endoleptic Calcisol Hipersodic",3
"Endoleptic Calcisol Hiposodic","Endoleptic Calcisol Hiposodic",1
"Endoleptic Calcisol Luvic","Endoleptic Calcisol Luvic",13
"Endoleptic Calcisol Sodic","Endoleptic Calcisol Sodic",2
"Endoleptic Cambisol","Endoleptic Cambisol",2
"Endoleptic Cambisol Aridic","Endoleptic Cambisol Aridic",2
"Endoleptic Cambisol Calcaric","Endoleptic Cambisol Calcaric",8
"Endoleptic Cambisol Cromic","Endoleptic Cambisol Cromic",7
"Endoleptic Cambisol Distric","Endoleptic Cambisol Distric",3
"Endoleptic Cambisol Endoesqueletic","Endoleptic Cambisol Endoesqueletic",1
"Endoleptic Cambisol Epidistric","Endoleptic Cambisol Epidistric",1
"Endoleptic Cambisol Epiesqueletic","Endoleptic Cambisol Epiesqueletic",2
"Endoleptic Cambisol Esqueletic","Endoleptic Cambisol Esqueletic",7
"Endoleptic Cambisol Eutric","Endoleptic Cambisol Eutric",2
"Endoleptic Cambisol Hiperdistric","Endoleptic Cambisol Hiperdistric",2
"Endoleptic Cambisol Hipersodic","Endoleptic Cambisol Hipersodic",2
"Endoleptic Cambisol Hiposalic","Endoleptic Cambisol Hiposalic",1
"Endoleptic Cambisol Hiposodic","Endoleptic Cambisol Hiposodic",2
"Endoleptic Cambisol Humic","Endoleptic Cambisol Humic",20
"Endoleptic Cambisol Ortidistric","Endoleptic Cambisol Ortidistric",1
"Endoleptic Cambisol Rodic","Endoleptic Cambisol Rodic",2
"Endoleptic Cambisol Sodic","Endoleptic Cambisol Sodic",2
"Endoleptic Cambisol Vertic","Endoleptic Cambisol Vertic",1
"Endoleptic Chernozem Calcic","Endoleptic Chernozem Calcic",4
