"","WRB","count"
"calcic horizon,Vermic,Endofluvic,Vermi,Calcic Chernozem Sodic,Pachic","calcic horizon,Vermic,Endofluvic,Vermi,Calcic Chernozem Sodic,Pachic",1
"calcic horizon,Yermi Gypsisol","calcic horizon,Yermi Gypsisol",1
"Calcic Kastanozem","Calcic Kastanozem",2
"Calcic Kastanozem Clayic","Calcic Kastanozem Clayic",1
"Calcic Kastanozem Cromic","Calcic Kastanozem Cromic",2
"Calcic Kastanozem Endostagnic","Calcic Kastanozem Endostagnic",1
"Calcic Kastanozem Hiposodic","Calcic Kastanozem Hiposodic",1
"Calcic Kastanozem Humic","Calcic Kastanozem Humic",5
"Calcic Kastanozem Luvic","Calcic Kastanozem Luvic",10
"Calcic Kastanozem Siltic","Calcic Kastanozem Siltic",2
"Calcic Lixisol","Calcic Lixisol",1
"Calcic Luvisol","Calcic Luvisol",24
"Calcic Luvisol Abruptic","Calcic Luvisol Abruptic",1
